AZ,  21  ,2016,R,-1,0.0,64404.0,0
AZ,  22  ,2016,R,-1,38620.0,71863.0,0
AZ,  23  ,2016,R,-1,0.0,88099.0,0
AZ,  24  ,2016,D,-1,54351.0,0.0,0
AZ,  25  ,2016,R,-1,0.0,69914.0,0
AZ,  26  ,2016,D,-1,40995.0,0.0,0
AZ,  27  ,2016,D,-1,40085.0,0.0,9381.0
AZ,  28  ,2016,R,-1,48124.0,50436.0,0
AZ,  29  ,2016,D,-1,29638.0,13615.0,0
AZ,  3  ,2016,D,-1,48887.0,0.0,0
AZ,  30  ,2016,D,-1,27941.0,14152.0,0
AZ,  4  ,2016,D,-1,37668.0,0.0,0
AZ,  5  ,2016,R,-1,0.0,62615.0,0
AZ,  6  ,2016,R,-1,47557.0,49318.0,0
AZ,  7  ,2016,D,-1,54421.0,0.0,0
AZ,  8  ,2016,R,-1,28585.0,32366.0,0
AZ,  9  ,2016,D,-1,68109.0,0.0,0
AZ,District 1,2014,R,-1,0,55273.0,139.0
AZ,District 10,2014,D,-1,34334.0,31307.0,0
AZ,District 11,2014,R,-1,26628.0,38397.0,0
AZ,District 12,2014,R,-1,19117.0,35820.0,0
AZ,District 13,2014,R,-1,15874.0,28645.0,0
AZ,District 14,2014,R,-1,0,46564.0,0
AZ,District 15,2014,R,-1,0,43363.0,0
AZ,District 16,2014,R,-1,16382.0,31659.0,0
AZ,District 17,2014,R,-1,21619.0,32598.0,0
AZ,District 18,2014,R,-1,29723.0,34522.0,0
AZ,District 19,2014,D,-1,12811.0,7747.0,0
AZ,District 2,2014,D,-1,22901.0,18707.0,0
AZ,District 20,2014,R,-1,16613.0,25103.0,5438.0
AZ,District 21,2014,R,-1,18687.0,32119.0,0
AZ,District 22,2014,R,-1,21079.0,48046.0,0
AZ,District 23,2014,R,-1,29810.0,46649.0,0
AZ,District 24,2014,D,-1,25130.0,12867.0,0
AZ,District 25,2014,R,-1,16140.0,38505.0,0
AZ,District 26,2014,D,-1,14845.0,0,10563.0
AZ,District 27,2014,D,-1,17917.0,6198.0,0
AZ,District 28,2014,R,-1,27902.0,34455.0,2392.0
AZ,District 29,2014,D,-1,12133.0,8002.0,0
AZ,District 3,2014,D,-1,27034.0,0,0
AZ,District 30,2014,D,-1,12802.0,9276.0,0
AZ,District 4,2014,D,-1,14464.0,12423.0,0
AZ,District 5,2014,R,-1,0,38507.0,0
AZ,District 6,2014,R,-1,0,31845.0,30207.0
AZ,District 7,2014,D,-1,38513.0,0,7494.0
AZ,District 8,2014,D,-1,17654.0,17157.0,0
AZ,District 9,2014,D,-1,45890.0,0,0
CA,  1  ,2016,R,-1,161502.0,287314.0,0
CA,  11  ,2016,D,-1,201316.0,0.0,0
CA,  13  ,2016,D,-1,296400.0,94269.0,0
CA,  15  ,2016,D,-1,196089.0,0.0,0
CA,  17  ,2016,D,-1,268806.0,141339.0,0
CA,  19  ,2016,D,-1,224834.0,131598.0,0
CA,  21  ,2016,R,-1,142886.0,160043.0,0
CA,  23  ,2016,R,-1,141533.0,184470.0,0
CA,  25  ,2016,D,-1,218242.0,159014.0,0
CA,  27  ,2016,D,-1,218655.0,172827.0,0
CA,  29  ,2016,D,-1,160230.0,157732.0,0
CA,  3  ,2016,D,-1,207927.0,0.0,0
CA,  31  ,2016,D,-1,167574.0,109238.0,0
CA,  33  ,2016,D,-1,177971.0,0.0,48316.0
CA,  35  ,2016,D,-1,135353.0,0.0,0
CA,  37  ,2016,R,-1,172455.0,228480.0,0
